Year,Country,Population,Sugar,Female_BMI,Male_BMI,Av_BMI,GDP,Life_Expectency,Continent
2002,Japan,0.6783364286997162,0.42028142192128654,0.6573102616833134,0.76283813429267,0.7076340337765509,0.4012757320962598,0.9878048780487805,Asia
2003,Japan,0.6798106408301133,0.40578713499788405,0.657167845324441,0.7645267090158839,0.7083647742021496,0.41200347926935343,0.9878048780487805,Asia
2004,Japan,0.6811495720018986,0.40578713499788405,0.6569087974632498,0.7662057456271045,0.7090299534562735,0.4331690345027544,0.9878048780487805,Asia
1980,Jordan,0.012254000471737136,0.6666842996191282,0.825600524811778,0.8108128642160954,0.8185486356453581,0.027544215714699914,0.8048780487804879,Asia
1981,Jordan,0.012710677136969413,0.7101671603893356,0.8294724508296277,0.8148501167925368,0.8224994020287889,0.030588576398956218,0.8170731707317073,Asia
1982,Jordan,0.013233484473366804,0.6232014388489209,0.8333578689235812,0.8190810917125647,0.8265496080837866,0.033487967526819366,0.8170731707317073,Asia
1983,Jordan,0.013800946669047043,0.5797185780787135,0.8372369907153528,0.8232633893713858,0.8305733073493603,0.033777906639605684,0.8292682926829268,Asia
1984,Jordan,0.014380868811626198,0.5797185780787135,0.8411281054636611,0.8272838680267357,0.834526112716593,0.03580748042910989,0.8292682926829268,Asia
1985,Jordan,0.014952392982233378,0.6087071519255184,0.845013823381528,0.8315414838802618,0.838589180054033,0.03667729776746883,0.8414634146341463,Asia
1986,Jordan,0.015496031372588127,0.6232014388489209,0.8486647791751905,0.8356399119336253,0.8424535248932474,0.03841693244418672,0.8414634146341463,Asia
1987,Jordan,0.016024109605021673,0.6376957257723234,0.8519175688118368,0.8396590749873208,0.8460717800720703,0.038851841113366196,0.8536585365853658,Asia
1988,Jordan,0.01658459229616474,0.6232014388489209,0.8545830034021019,0.8434249847225758,0.8492620054974139,0.03740214554943462,0.8658536585365854,Asia
1989,Jordan,0.017244405318623167,0.6376957257723234,0.8558089833840585,0.8459739629276609,0.8511188923612609,0.032473180632067264,0.8658536585365854,Asia
1990,Jordan,0.018044909893280045,0.6232014388489209,0.8572382439793109,0.8485795120038784,0.8531090973967667,0.032618150188460426,0.8658536585365854,Asia
1991,Jordan,0.01901317510701625,0.6232014388489209,0.8584957054721761,0.8511972303953974,0.8550152335616733,0.029718759060597275,0.8780487804878049,Asia
1992,Jordan,0.020116146370214638,0.6087071519255184,0.8599672412392202,0.8542037090757437,0.8572187476718334,0.03493766309075094,0.8780487804878049,Asia
